Comunidade,Tamanho,Densidade,Densidade Espacial,Fator escolha,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas
1178,1,0,0,0,34.1126,-118.4441,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'West LA'},{807}
1179,1,0,0,0,34.0949,-118.5111,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'West LA'},{803}
1180,1,0,0,0,34.1402,-118.226,{'agressao grave': 1.0},{'armas de fogo': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Northeast'},{1113}
1181,4,0.351677886388975,933.855446825315,1313.66523892943,34.321225,-118.496125,"{'roubo': 0.5, 'agressao leve': 0.5}","{'Indefinido': 0.5, 'força fisica e ameacas': 0.25, 'objetos contundentes': 0.25}","{'Manha': 0.0, 'Tarde': 0.25, 'Noite': 0.75, 'Madrugada': 0.0}","{'Mission', 'Devonshire'}","{1705, 1901}"
1182,3,0.575803592539583,0,0,33.8533,-118.2953,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.333, 'Noite': 0.333, 'Madrugada': 0.333}",{'Harbor'},{505}
1183,3,0.302383020263093,623.917748104624,565.986399202871,33.7983333333333,-118.269066666667,"{'vandalismo': 0.333, 'agressao leve': 0.667}","{'Indefinido': 0.333, 'força fisica e ameacas': 0.667}","{'Manha': 0.667, 'Tarde': 0.333, 'Noite': 0.0, 'Madrugada': 0.0}",{'Harbor'},{515}
1184,1,0,0,0,34,-118.4313,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Pacific'},{1445}
1185,2,0.28493769682875,854.357657716315,486.877406515384,34.23975,-118.5694,"{'agressao leve': 0.5, 'roubo': 0.5}","{'força fisica e ameacas': 0.5, 'Indefinido': 0.5}","{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1772}
1186,1,0,0,0,34.3245,-118.4076,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Mission'},{1909}
1187,1,0,0,0,34.2426,-118.3747,{'roubo': 1.0},{'outros': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Foothill'},{1665}
1188,1,0,0,0,33.7156,-118.3038,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Harbor'},{584}
1189,2,0.478630829698406,507.673082569666,485.975977451733,34.3144,-118.4848,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.5, 'Noite': 0.5, 'Madrugada': 0.0}",{'Mission'},"{1912, 1911}"
1190,3,0.328703761630974,318.985606359695,314.555306149707,33.9588,-118.406666666667,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.667, 'Noite': 0.0, 'Madrugada': 0.333}",{'Pacific'},{1485}
1191,3,0.186195777829606,552.899521485491,308.842669393824,34.0275,-118.375433333333,"{'agressao leve': 0.333, 'agressao grave': 0.333, 'vandalismo': 0.333}","{'força fisica e ameacas': 0.333, 'objetos cortantes': 0.333, 'Indefinido': 0.333}","{'Manha': 0.333, 'Tarde': 0.667, 'Noite': 0.0, 'Madrugada': 0.0}",{'Southwest'},"{321, 311}"
1192,4,0.174999474431159,361.52691918295,253.06808339893,34.010525,-118.44475,"{'roubo': 0.75, 'agressao leve': 0.25}","{'Indefinido': 0.5, 'força fisica e ameacas': 0.25, 'outros': 0.25}","{'Manha': 0.0, 'Tarde': 0.25, 'Noite': 0.25, 'Madrugada': 0.5}",{'Pacific'},{1416}
1193,1,0,0,0,34.2442,-118.4284,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Mission'},{1969}
1194,4,0.181405602371182,459.347244283162,333.312654186918,34.095425,-118.271125,"{'roubo': 0.75, 'agressao leve': 0.25}","{'Indefinido': 0.75, 'força fisica e ameacas': 0.25}","{'Manha': 0.25, 'Tarde': 0.75, 'Noite': 0.0, 'Madrugada': 0.0}",{'Northeast'},"{1144, 1171}"
1195,4,0.365002771902949,727.135835900297,1061.6263826143,34.063525,-118.431375,"{'roubo': 0.75, 'agressao leve': 0.25}","{'Indefinido': 0.75, 'força fisica e ameacas': 0.25}","{'Manha': 0.0, 'Tarde': 0.25, 'Noite': 0.75, 'Madrugada': 0.0}",{'West LA'},"{834, 828}"
1196,2,0.493143094381602,1250.00000000291,1232.85773595688,34.2156,-118.5833,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.5, 'Tarde': 0.0, 'Noite': 0.5, 'Madrugada': 0.0}",{'Topanga'},{2118}
1197,4,0.346188470185563,999.999999998778,1384.75388074056,34.1625,-118.4166,"{'roubo': 0.5, 'agressao leve': 0.5}","{'Indefinido': 0.5, 'força fisica e ameacas': 0.5}","{'Manha': 0.25, 'Tarde': 0.25, 'Noite': 0.25, 'Madrugada': 0.25}",{'Van Nuys'},{969}
1198,1,0,0,0,34.194,-118.4031,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'N Hollywood'},{1513}
1199,4,0.197038185114973,589.891889193596,464.924909042995,34.216,-118.46295,"{'vandalismo': 0.5, 'roubo': 0.25, 'agressao leve': 0.25}","{'Indefinido': 0.75, 'força fisica e ameacas': 0.25}","{'Manha': 0.5, 'Tarde': 0.25, 'Noite': 0.0, 'Madrugada': 0.25}",{'Mission'},{1993}
1200,1,0,0,0,33.8459,-118.2992,{'vandalismo': 1.0},{'armas de fogo': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Harbor'},{504}
1201,3,0.511996401928662,1071.42857143107,1645.70272048882,34.2291666666667,-118.5273,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.667, 'Tarde': 0.0, 'Noite': 0.333, 'Madrugada': 0.0}",{'Devonshire'},"{1785, 1794}"
1202,1,0,0,0,34.2266,-118.5755,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1791}
1203,1,0,0,0,34.0982,-118.4568,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 1.0}",{'West LA'},{806}
1204,5,0.176013184335802,404.277188380089,355.790576405521,34.09934,-118.37672,"{'roubo': 0.6, 'vandalismo': 0.4}","{'Indefinido': 0.8, 'objetos cortantes': 0.2}","{'Manha': 0.4, 'Tarde': 0.2, 'Noite': 0.2, 'Madrugada': 0.2}",{'Hollywood'},{632}
1205,1,0,0,0,34.1294,-118.2326,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Northeast'},{1112}
